"CategoryString","ImpactString","ResourceType","Label","Description","RecommendationTypeId","ARG_Query","IsMappable","Reason"
"HighAvailability","High","MICROSOFT.NETAPP/NETAPPACCOUNTS/CAPACITYPOOLS/VOLUMES","End of Support for increase to IP route limit for Basic network features","An Azure NetApp Files volume using Basic network features is subject to an IP route limit of 1600. IP route limits aren't adjustable. To prevent the IP route limit, migrate volumes to Standard network features from Basic network features.","64936C6E-8236-4875-8234-109AB34576FE","resources | where type == ""microsoft.netapp/netappaccounts/capacitypools/volumes"" | where properties['provisioningState'] has ""Succeeded"" or properties['provisioningState'] has ""succeeded""|  where properties['networkFeatures'] has ""Basic"" | project id, subscriptionId",TRUE,""
"OperationalExcellence","High","MICROSOFT.SERVICEBUS/NAMESPACES","Avoid using explicit key versions for customer-managed keys in Service Bus namespace","Avoid using explicit key versions for Key Vault used for customer-managed keys in Service Bus namespaces to enable seamless key rotation, reduce operational overhead, and prevent outages caused by expired or deleted key versions.","8849ACB8-A958-41F3-AF98-DAB43F85BF3C","resources | where type == 'microsoft.servicebus/namespaces' | mv-expand keyVault = properties.encryption.keyVaultProperties | where isnotempty(keyVault.keyVersion) | distinct id, subscriptionId | project id, subscriptionId",FALSE,"Uses mv-expand on properties.encryption.keyVaultProperties"
"HighAvailability","High","MICROSOFT.WEB/SITES","Use Standard or Premium tier","Choose Standard or Premium Azure App Service Plan for robust apps with advanced scaling, high availability, better performance, and multiple slots, ensuring resilience and continuous operation.","DC298556-8232-4AA8-BFE0-5204C5017BE0","resources
| where type =~ 'microsoft.web/serverfarms'
| extend sku_tier = tostring(sku.tier)
| where tolower(sku_tier) !contains ""standard"" and tolower(sku_tier) !contains ""premium"" and tolower(sku_tier) !contains ""isolatedv2""
| project id, subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.NETWORK/LOADBALANCERS","Ensure backend pools contain at least two instances","Deploying Azure Load Balancer backend pools with at least two instances prevents a single point of failure. Pairing with Virtual Machine Scale Sets can provide additional scalability.","5B132EBC-BD86-46FC-B2EE-95BC3E2D3017","resources
| where type =~ 'Microsoft.Network/loadBalancers'
| mv-expand bpool = properties.backendAddressPools
| extend BackendAddresses = array_length(bpool.properties.loadBalancerBackendAddresses)
| where BackendAddresses <= 1
| project id, subscriptionId",FALSE,"Uses mv-expand and array_length"
"HighAvailability","High","MICROSOFT.WEB/SITES","Set minimum instance count for App Service to 2","App Service should be configured with a minimum of two instances for production workloads. If apps have a longer warm-up time, a minimum of three instances should be used.","E987DCCE-FD2C-4683-8ABF-F1A34BBAD737","resources
| where type == ""microsoft.web/serverfarms""
| where sku.capacity < 2
| project id, subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.SERVICEBUS/NAMESPACES","Set up Geo-replication for Service Bus namespace","Set up Geo-replication on Premium Service Bus namespaces to ensure high availability and regional failover. This new feature replicates both metadata and data, helping protect against outages and disasters for mission-critical workloads.","15A7E73B-943E-4CF5-847D-F54ED39C33F1","Resources
| where type == ""microsoft.servicebus/namespaces""
| where sku.tier == ""Premium""
| where array_length(properties.geoDataReplication.locations) == 1
| project id, subscriptionId",FALSE,"Uses array_length"
"HighAvailability","High","MICROSOFT.WEB/SITES","Upgrade PHP to a newer, supported version","Extended support for PHP 8.1 is ending. Apps hosted on App Service continue to run. Future security updates aren't available. The platform no longer provides customer service for PHP 8.1.","42702F7A-06AF-4CCA-80B6-6B058E22B12F","resources | where type contains 'microsoft.web/sites' and tostring(properties.siteProperties.properties) contains 'LinuxFxVersion' and ['kind'] !contains 'functionapp' and tostring(properties.siteProperties.properties) contains 'PHP|8.1' | project id, subscriptionId",FALSE,"LinuxFxVersion is in /config/web, not in the base ARM resource response"
"HighAvailability","High","MICROSOFT.NETWORK/TRAFFICMANAGERPROFILES","Traffic Manager monitor status should be online","Monitor status should be online to ensure failover for application workload. If Traffic Manager's health shows degraded, one or more endpoints may also be degraded.","20F2FF6A-3940-4CC9-8F14-909466C4DDD0","resources
| where type == 'microsoft.network/trafficmanagerprofiles'
| mv-expand properties.endpoints
| where properties_endpoints.properties.endpointMonitorStatus != 'Online'
| project id, subscriptionId",FALSE,"Uses mv-expand on endpoints"
"HighAvailability","High","MICROSOFT.DOCUMENTDB/DATABASEACCOUNTS","Evaluate multi-region write capability in Azure Cosmos DB","Multi-region writes enable high availability but require careful consistency and conflict resolution. Using Bounded Staleness is an anti-pattern, as replication lag increases latency and coordination overhead. This setup undermines scalability, impacting performance and availability.","A2002089-9DD1-46B6-881C-D0F349515230","resources
| where type =~ 'Microsoft.DocumentDb/databaseAccounts'
| where    array_length(properties.locations) > 1 and    properties.enableMultipleWriteLocations == false
| extend defaultConsistencyLevel = tostring(properties.consistencyPolicy.defaultConsistencyLevel)
| where defaultConsistencyLevel !in ('Strong', 'BoundedStaleness')
| project id, subscriptionId",FALSE,"Uses array_length"
"HighAvailability","High","MICROSOFT.SQL/MANAGEDINSTANCES","Support for TLS 1.0 and TLS 1.1 in Azure SQL Managed Instance is ending","Upgrade TLS to latest version. Support for TLS 1.0 and TLS 1.1 in Azure SQL Managed Instance is ending.","2ED2B058-8BF0-459D-9674-6FDF8E39E11A","resources|where type =~ 'microsoft.sql/managedinstances' and properties['minimalTlsVersion'] in ('None', '1.0','1.1')|project id, subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.WEB/STATICSITES","Migrate to Static Web Apps Standard pricing plan or to Azure Container Apps","Static Web Apps Dedicated pricing plan is retiring. Migrate deployments that use the Dedicated pricing plan to the Static Web Apps Standard pricing plan or to Azure Container Apps.","92B2F593-B118-4655-9DCB-20137B13F790","resources
|where type =~ 'microsoft.web/staticsites' and tostring(sku.name) =~ 'Dedicated'|project id,subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.COMPUTE/VIRTUALMACHINES","Review and migrate virtual machine workloads","Azure Virtual Machine (VM) series F, Fs, Fsv2, Lsv2, G, Gs, Av2, and B are retiring. The VM series are no longer available for use or purchase. Applications and workloads currently operating on VM types must be migrated to newer VM series.","13CEA0F1-C3F7-4C66-8B3B-9928A0F07CEA","resources | where type =~ 'microsoft.compute/virtualmachines' | where tostring(properties.hardwareProfile.vmSize) startswith 'Standard_Lsv2' or tostring(properties.hardwareProfile.vmSize) startswith 'Standard_GS' or tostring(properties.hardwareProfile.vmSize) startswith 'Standard_G' or tostring(properties.hardwareProfile.vmSize) startswith 'Standard_Fsv2' or tostring(properties.hardwareProfile.vmSize) startswith 'Standard_Fs' or  tostring(properties.hardwareProfile.vmSize) startswith 'Standard_F' or tostring(properties.hardwareProfile.vmSize) startswith 'Standard_B' or tostring(properties.hardwareProfile.vmSize) startswith 'Standard_Av2' | project id,subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.KUBERNETES/CONNECTEDCLUSTERS","Migrate to Azure Kubernetes Service on Azure Local","Migrate to Azure Kubernetes Service on Azure Local for enhanced capabilities. The platform recommends migrating to Azure Kubernetes Service on Azure Local for improved features.","7E161911-FA97-4D8C-88A0-D7C4B9432EB0","resources | where type =~ 'microsoft.kubernetes/connectedclusters' | where properties['distribution'] in ('aks_management','aks_workload') | where properties['infrastructure'] contains 'vSphere' | where properties['kind'] !~ ('ProvisionedCluster') | project id, subscriptionId",TRUE,""
"OperationalExcellence","High","MICROSOFT.NETWORK/EXPRESSROUTEPORTS","Enable Admin State for both links of the ExpressRoute Direct","In Azure ExpressRoute Direct, the Admin State specifies the administrative status of the layer 1 link as Enabled or Disabled. The Admin State is the same as turning the physical port on or off. Billing begins when Admin State for either link is set to Enabled.","88ECF03E-51DC-4AA4-9A4D-2EE48C407F56","resources | where type == 'microsoft.network/expressrouteports' | where properties['links'][0]['properties']['adminState'] == 'Disabled' or properties['links'][1]['properties']['adminState'] == 'Disabled' | project id, subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.KEYVAULT/VAULTS","Key vaults should have soft delete enabled","Key Vault's soft-delete feature enables recovery of deleted vaults and objects like keys, secrets, and certificates. When enabled, marked resources are retained for 90 days, allowing for their recovery, essentially undoing deletion.","BF63F2B0-B0E2-4F9D-AEB5-E0F18E5FDED2","resources | where type == 'microsoft.keyvault/vaults' | where isnull(properties.enableSoftDelete) or properties.enableSoftDelete != 'true' | project id, subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.DBFORPOSTGRESQL/FLEXIBLESERVERS","Enable custom maintenance schedule","Use custom maintenance schedule on flexible server instances to select a preferred time for service updates to be applied.","435EB1E9-260B-4A99-BCD8-F13D7FBF624C","resources
| where type == 'microsoft.dbforpostgresql/flexibleservers'
| where properties.maintenanceWindow.customWindow != 'Enabled'
| project recommendationId = 'b2bad57d-7e03-4c0f-9024-597c9eb295bb', name, id, tags, param1 = strcat('customWindow:', properties['maintenanceWindow']['customWindow'])",TRUE,""
"HighAvailability","High","MICROSOFT.SQL/MANAGEDINSTANCES","Use Zone-redundant or Geo-zone-redundant Backup storage redundancy","Configuring zone redundancy option for backups copies your backup file synchronously across three Azure availability zones in the primary region. If Geo is selected, then it copies your data asynchronously three times to a single physical location in the paired secondary region.","2DD4AA4B-C178-4776-BCE8-51408F39C344","resources
| where type =~ 'Microsoft.Sql/managedInstances'
| extend backupredundancy=properties.storageAccountType
| extend ServiceTier = sku.tier
| where backupredundancy != 'GeoZone'
| project recommendationId='15e2712c-f3ea-4a8d-9081-11e822b1ccfb', name, id, param1=strcat('Service Tier:', ServiceTier), param2=strcat('Backup Redundancy:', backupredundancy)",TRUE,""
"HighAvailability","High","MICROSOFT.CONTAINERSERVICE/MANAGEDCLUSTERS","Upgrade Persistent Volumes using in-tree drivers to Azure CSI drivers","From Kubernetes 1.26, Azure Disk and Azure File in-tree drivers are deprecated in favor of CSI drivers. Existing deployments remain operational but untested; users should switch to CSI drivers for new features and SKUs.","21DC7D8E-AA59-44A6-9A2E-EA69305494F7","resources
| where type =~ 'Microsoft.ContainerService/managedClusters'
| where properties.storageProfile.diskCSIDriver.enabled != true or
        properties.storageProfile.fileCSIDriver.enabled != true or
        properties.storageProfile.blobCSIDriver.enabled != true
| project recommendationId = 'b002c030-72e6-4a37-8217-1cb276c43169', name, id, tags",TRUE,""
"HighAvailability","High","MICROSOFT.AAD/DOMAINSERVICES","Use replica sets for resiliency or geolocation in Microsoft Entra Domain Services","To improve the resiliency of a Microsoft Entra Domain Services managed domain, or deploy to additional geographic locations close to your applications, you can use replica sets. You can add a replica set to any peered virtual network in any Azure region that supports Domain Services.","FC5BCFB2-8986-423C-92CF-2BA4D5581E61","resources
| where type == 'microsoft.aad/domainservices'
| extend replicaSets = properties.replicaSets
| where array_length(replicaSets) < 2
| project recommendationId='a3058909-fcf8-4450-88b5-499f57449178', name=name, id=id, tags=tags, param1=strcat('replicaSetLocation:', replicaSets[0].location)",FALSE,"Uses array_length"
"HighAvailability","High","MICROSOFT.AAD/DOMAINSERVICES","Use at least the Enterprise SKU","You need to use a minimum of Enterprise SKU for your managed domain to support replica sets.","B2EFC174-4EF4-46E4-8F93-0BF6FA7E5DB8","resources
| where type == 'microsoft.aad/domainservices'
| extend sku = properties.sku
| where sku =~ 'Standard'
| project recommendationId='bb6deb9d-24fa-4ee8-bc23-ac3ebc7fdf8e', name=name, id=id, tags=tags, param1=strcat('SKU:', sku)",TRUE,""
"HighAvailability","High","MICROSOFT.APIMANAGEMENT/SERVICE","Azure API Management platform version should be stv2","stv1 instances were deprecated on August 31, 2024. If not migrated to stv2 by then, auto-migration will occur. In some cases, due to technical limitations, services may be shut down in March 2025.","5FA46114-BC35-472B-8DCE-12A60B141804","resources
| where type =~ 'Microsoft.ApiManagement/service'
| extend plat_version = properties.platformVersion
| extend skuName = sku.name
| where tolower(plat_version) == tolower('stv1')
| project recommendationId = 'e35cf148-8eee-49d1-a1c9-956160f99e0b', name, id, tags, param1=strcat('Platform Version: ', plat_version) , param2=strcat('SKU: ', skuName)",TRUE,""
"HighAvailability","High","MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS","Disable Force strictly even balance across zones to avoid scale in and out fail attempts","Microsoft advises disabling strictly even VM instance distribution across Availability Zones in VMSS to improve scalability and flexibility, noting that uneven distribution may better serve application load demands despite the potential trade-off in resilience.","4BF5BCDC-2045-439E-A140-9FD9589B5CFD","resources
| where type == 'microsoft.compute/virtualmachinescalesets'
| where properties.orchestrationMode == 'Uniform' and properties.zoneBalance == true
| project recommendationId = 'b5a63aa0-c58e-244f-b8a6-cbba0560a6db', name, id, tags, param1 = 'strictly zoneBalance: Enabled'
| order by id asc",TRUE,""
"HighAvailability","High","MICROSOFT.NETAPP/NETAPPACCOUNTS/CAPACITYPOOLS/VOLUMES","Use availability zones for high availability in Azure NetApp Files","Availability zones are distinct locations within an Azure region to withstand local failures. Deploy your workload in multiple availability zones and use application-based replication or Azure NetApp Files cross-zone replication to achieve high availability. Note that failover is a manual process.","08B04F67-7590-455B-B42D-6F60D69AEAB6","resources
| where type =~ 'Microsoft.NetApp/netAppAccounts/capacityPools/volumes'
| where location in~ ('australiaeast', 'brazilsouth', 'canadacentral', 'centralindia', 'centralus', 'eastasia', 'eastus', 'eastus2', 'francecentral', 'germanywestcentral', 'israelcentral', 'italynorth', 'japaneast', 'japanwest', 'koreacentral', 'mexicocentral', 'newzealandnorth', 'northeurope', 'norwayeast', 'polandcentral', 'qatarcentral', 'southafricanorth', 'southcentralus', 'southeastasia', 'spaincentral', 'swedencentral', 'switzerlandnorth', 'uaenorth', 'uksouth', 'westeurope', 'westus2', 'westus3', 'usgovvirginia', 'chinanorth3')
| where array_length(zones) == 0 or isnull(zones)
| project recommendationId = '47d100a5-7f85-5742-967a-67eb5081240a', name, id, tags",FALSE,"Uses array_length"
"HighAvailability","High","MICROSOFT.KUBERNETESCONFIGURATION/EXTENSIONS","Migrate to Azure Container Apps on Arc-enabled Kubernetes","Azure App Service on Azure Arc-enabled Kubernetes is retiring. Installation of the Application Services extension is no longer available.","51B9EF93-332D-4438-B1BA-851A6EAE2E67","resources | where type =~ 'microsoft.web/kubeenvironments' | project id,subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.SQL/MANAGEDINSTANCES","Migrate Azure Monitor SCOM Managed Instance to System Center Operations Manager or Azure Monitor","Migrate monitoring workloads using Azure Monitor SCOM Managed Instance to supported alternatives based on environment type.","CDBEF351-5BBA-4639-ABCD-34B594310B97","resources | where type =~ ""microsoft.scom/managedinstances"" | project id, subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.COGNITIVESERVICES/ACCOUNTS","Migrate away from Azure AI Health Insights service","Azure AI Health Insights, Clinical Trials Matcher model, and Radiology Insights model are retiring. Azure AI Health Insights, Clinical Trials Matcher model, and Radiology Insights model are no longer available for use or integration.","35C12AD3-0E52-45CD-BF53-16777B0F6A34","resources | where type =~ 'microsoft.cognitiveservices/accounts' and kind =~ 'HealthInsights' | project id, subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.COMPUTE/VIRTUALMACHINES","Migrate to the newer VM series in the same NC product line","Standard_NC24rs_v3 virtual machine size in NCv3-series virtual machines is retiring. Upgrade to the newer VM series in the same NC product line.","81076CD9-E656-4B1A-862B-63F2F40CAA87","resources | where type contains 'microsoft.compute/virtualmachine' and (tostring(properties.hardwareProfile.vmSize) in~ ('Standard_NC24s_v3')  or tostring(sku.name) in~ ('Standard_NC24s_v3')) | project id, subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.SQL/SERVERS","Migrate to TLS 1.2 or above for SQL databases","Support for TLS 1.0 and 1.1 on Azure SQL db is retiring. Update the TLS policy to the latest version","8EFF5550-A532-452B-88DD-F4032156DA2F","resources | where type =~ 'microsoft.sql/servers' and properties['minimalTlsVersion'] in~ ('None','1.0', '1.1') | project id, subscriptionId",TRUE,""
"HighAvailability","High","MICROSOFT.NETWORK/APPLICATIONGATEWAYS","Migrate to TLS 1.2 or above for Application Gateway","Support for TLS 1.0 and 1.1 on Azure Application Gateway is retiring. Update the TLS policy for Application Gateway to the latest version.","A7ECAAAA-DC86-444B-8AAD-E0773D5C2324","resources | where type =~ 'microsoft.network/applicationgateways' and (properties['sslPolicy']['minProtocolVersion'] != 'TLSv1_2' and ​properties['sslPolicy']['minProtocolVersion'] != 'TLSv1_3'​ and properties['sslPolicy']['policyName'] !contains '2022' and properties['sslPolicy']['policyName'] !contains '401S' and properties['defaultPredefinedSslPolicy'] !contains '2022') | project id, subscriptionId",FALSE,"Contains a zero-width space (U+200B) character"
